name_2,N_PERCENT_ASIAN,N_PERCENT_BLACK,N_PERCENT_HISPANIC,N_PERCENT_WHITE
Trinity Park,3.159304287897154,7.879776565516988,12.551156089766758,68.6178069039394
Southside / St. Teresa,4.633161083525927,47.60342084157407,16.380267783433332,25.798937261907408
American Tobacco Campus,4.68756418586207,38.7970274575862,11.604928240586206,41.15359408965517
Warehouse District,3.7557461734536086,9.013466693728523,6.082073672731958,68.62367264742268
Central Park,3.223443223,9.377289377,6.373626374,74.72527473
Rigsbee Hill,3.223443223,9.377289377,6.373626374,74.72527473
Old North Durham,1.554419475225214,24.511022367741738,23.777030945232557,47.06576033359853
Trinity Heights,0.616740088,0.176211454,8.986784141,72.95154185
Walltown,0.7079009766590909,34.42206678936363,10.845075086669786,46.62696592717915
Duke Homestead,0.0,23.3685519,28.40273462,46.55065258
West Murray / Broad,1.254064097,42.63817928,29.07570831,15.095215979999999
Northgate Park,2.1973882222475916,9.577748329742775,8.049003430348748,76.39697045541426
Duke Park,5.004050539833738,13.529347660864078,17.454384157592234,55.765845443774275
Scarsdale Village,0.9978876373090909,25.553799903305784,32.53586586654546,40.53270223699173
Preston Avenue,1.077996195,21.68674699,36.08116677,41.15409004
Holston Meadows,6.607142857,48.48214286,13.125,25.625
Stadium Heights,1.7274667048732393,40.715821002723004,17.460316638497652,34.038065495352114
Bragtown,0.9561407409018783,60.853975397992706,19.73575207998682,13.051037007640035
Lochaven Hills,0.0,33.20407174,1.793504605,58.84634028
Horton Hills,6.607142857,48.48214286,13.125,25.625
Latta Woods,0.0,33.20407174,1.793504605,58.84634028
Old Farm,2.449357051897287,58.75203444519379,21.47532731150775,15.032624531343023
River Forest,0.0,61.07544141000001,3.4510433390000004,28.81219904
Stephen's Woods,0.8021175903846153,43.136483348846156,0.0,48.60499293717948
Barclay to Sandlewood,9.936305732,20.0,0.0,70.06369427
Treyburn,1.5478786588590814,12.0589556818476,7.921739004237996,75.24644519620043
Unity Village,1.579741422,63.28110044784233,24.550035609626555,4.5263311208630705
Edgemont,2.952331728782235,65.73514862759313,12.406549357793697,17.62370934209169
Cleveland-Holloway,1.097144355457792,45.233413124883114,21.11221950884091,28.168349856069806
Old Five Points,3.1242603545999996,10.158798466323077,7.178735794492307,73.35177643338461
Golden Belt,0.24857218953191487,49.906558139432626,14.16732732716312,35.56510124019858
Albright,0.8230354194249084,30.505918365054942,41.66542585864469,24.270772914981684
Franklin Village,0.0,33.44651952,52.97113752,13.58234295
Old East Durham,1.1138472346892823,36.74147607983874,34.159402921809246,25.098356273232056
Eastway Village,0.99009901,32.42574257,23.14356436,38.86138614
Wellons Village,1.4516317017784093,33.64482320636363,45.12556530301136,17.7984336188125
Colonial Village,0.6919374246666666,51.35514259333333,10.047914946666666,33.886467786666664
Bon Air Avenue,0.0,70.62477165,12.09353307,15.85677749
Northeast Hills,0.0,27.534182113099273,48.99045476312349,20.857013006755448
Crown Point,0.04333965725274725,54.681215942307695,14.993732755384613,24.374580991098906
Bluffs of the Eno,0.0,61.07544141,3.4510433389999995,28.81219904
Summer Meadow,2.077431539,60.90651558,16.52502361,13.78659112
Eno Trace,0.0,61.075441409999996,3.451043339,28.81219904
Vantage Pointe,2.502606882,30.031282590000004,0.0,60.58394160999999
Swann's Mill,3.907563025,82.10084034,4.663865546,9.327731092
Bahama,0.09269558760215055,21.61971397795699,2.7020763808602153,74.98299273462366
Pleasant Drive,1.2093629902981031,27.183706995799458,46.764597218395664,21.528024791802167
Amberlynn Valley,0.0,70.51993942,8.480565371,4.745078243
Ashton Hall,10.56625803,36.31056626,13.25160537,39.87157034
Merrick Moore,0.0,35.96574486076142,41.71453913629442,18.33052849791878
Milan Woods,0.0,43.16877153,22.96211251,29.04707233
Landon Farms,0.0,36.63997192204787,33.92405260614362,21.71888499905851
Glennstone,0.0,26.38504155,51.10803324,21.329639890000003
Grove Park,1.39678075970015,43.30729927816342,9.831951050782608,44.15352411344078
Orchard Ridge,10.56625803,36.31056626,13.25160537,39.87157034
Oak Grove Community,3.93470326121519,38.91787544312236,8.737179362700422,46.357245146033755
Brightwood Trails,10.56910569,26.59698026,2.113821138,57.97909408
Stonehill Estates,0.0,57.251157456823265,17.648971401051455,21.334271275637583
Gatewood Forest,0.0,58.26446281,22.83057851,15.08264463
Marbry Landing,0.0,70.43879908,5.157813703,24.24942263
Ridgefield,0.69777584,69.29786306,11.25163541,10.292193630000002
Stillwood,0.0,62.63676149,23.14004376,14.22319475
Cardinal Lake,0.4044549255352481,69.4070147797389,7.563449384036554,11.620184600757181
Ravenstone,3.2641734157690805,46.894481644129165,5.498981584172212,42.89927669058708
