"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R816C",130,374486.753525897,0.581406326974161,0.829506369323077,23.6683432797846,9.74530609983077,62.0454227978462,0.636821759259259
"R816D",7,336500,0.588845544501498,0.117508813,2.23266745,0,92.00940071,0.632770909090909
"R816E",8,326428.571428571,0.585626118230674,5.368289638,21.47315855,2.684144819,69.60049938,0.651225423728814
"R816F",24,383601.694915254,0.580099613420923,0,56.41025641,6.666666667,34.65201465,0.643106944444444
"R817B",8,464677.541729894,0.654981174540394,0,2.479338843,0,91.94214876,0.710445281231498
"R817E",11,412500,0.52304,0.117508813,2.23266745,0,92.00940071,0.533232786885246
"R818C",5,337530.266343826,0.533454478935698,0,2.479338843,0,91.94214876,0.545427272727273
"R820A",69,270947.630922693,0.573541414141414,0.179758938826087,60.5059845089855,6.41219117385507,29.6220030118841,0.628062365591398
"R820B",56,287935.83535109,0.509163344947735,0,87.47680891,6.307977737,2.319109462,0.571008331958423
"R820C",17,255083.459787557,0.495974789202648,0,87.47680891,6.307977737,2.319109462,0.522263917525773
"R820D",17,3e+05,0.41800658017644,0,71.97164948,16.36597938,4.961340206,0.421425714285714
"R820E",15,515000,0.544984466019418,1.809210526,12.17105263,3.536184211,67.26973684,0.604995652173913
"R820F",114,274059.180576631,0.523816082751511,0.587634133842105,65.1455473161404,17.5176233270702,14.1412160809298,0.554366739087498
"R820G",77,236418.816388467,0.583258017644006,5.93664649597403,54.5330162112987,11.6428307353896,23.203411789039,0.603381322957198
"R820H",56,746274.658573596,0.602343767027888,2.72148587526786,11.2638131944643,4.608407963875,73.744606285,0.666060402130265
"R821A",45,387506.234413965,0.597845863928113,5.7181328542,43.924259374,16.825593378,27.823942334,0.654624
"R821B",67,398753.117206983,0.642188107763431,1.04534089297015,50.8952434861194,19.6578958884627,20.1009872491045,0.673479487179487
"R821C",26,655706.321853862,0.584079653979806,6.64804577984615,11.1433354115385,0.834144347615385,68.3698614123077,0.656763763594224
"R821D",83,380000,0.596623186299948,5.74852715320482,41.5950302048193,15.4527452863614,34.9658250518072,0.680621052631579
"R821E",72,486357.071209956,0.584792362685201,2.21732975579167,39.7677615365278,5.43972982218056,48.5208956402778,0.596739460784314
"R821G",5,1119878.60394537,0.839080233062331,3.357314149,10.6314948,5.355715428,78.25739408,1.04407555555556
"R822A",141,684370.257966616,0.602112910569106,2.84470120915603,6.37649804643972,15.0810959460709,69.1781949385816,0.6678
"R822C",21,843516.209476309,0.601532036391793,0.616740088,0.176211454,8.986784141,72.95154185,0.636390804597701
"R822D",69,441695.760598504,0.588233924611973,0.642363065057971,33.3531062953333,8.4541789331884,50.1770690344928,0.626116814159292
"R822E",76,541151.131474426,0.598452574445636,11.5418740423684,5.59584839115789,9.44020691818421,64.2699464426316,0.67393137254902
"R822F",85,618578.55361596,0.575213726903178,2.83709380971765,4.57942318262353,10.8276429638824,78.4960092462353,0.628942168674699
"R822G",27,292857.142857143,0.467996341463415,1.52129827185185,25.0800901105185,20.5834930359259,45.786165082963,0.527644351464435
"R822H",36,404132.971819314,0.636972969709842,2.06154171688889,0.896182224888889,10.1794429127778,85.2087994922222,0.668108667667882
"R822I",78,360102.014938441,0.597267582482186,0.578798814,24.7531241646923,18.2864215866154,50.8723482046154,0.615958865182437
"R822J",7,2e+05,0.455785,0.956521739,38.52173913,19.91304348,33.13043478,0.455785
"R822K",10,396902.124430956,0.681688134270957,0.956521739,38.52173913,19.91304348,33.13043478,0.685678740310077
"R823B",168,336268.765133172,0.53355352230279,1.40737268125595,34.3803932069643,21.2599957328571,39.8015686538571,0.561921501072784
"R823C",74,356241.793089356,0.650110462697274,0.0728375807432433,11.9440852231081,12.6502718837838,46.8270138075676,0.665735634920635
"R823D",22,354240.347537832,0.542985383536241,1.077996195,21.68674699,36.08116677,41.15409004,0.585142374727669
"R823F",5,350000,0.532491672473868,13.48614072,55.97014925,19.29637527,8.475479744,0.544442857142857
"R823G",33,327182.044887781,0.619918964367378,1.76851206675758,34.65935124,26.0415106757576,36.5309068293333,0.667777142857143
"R823H",10,319969.08148306,0.541759143515499,0.9902142192,47.369380275,19.682366323,30.778680776,0.553639461279461
"R824A",52,320536.159600998,0.539314793335707,2.81112199880769,58.6072168284615,23.8426183667692,12.8902665791154,0.592520206628203
"R824B",18,239529.590288316,0.588009416309557,0,61.07544141,3.451043339,28.81219904,0.682686990154712
