REID,N_ABS_ADJ_SALES_RATIO
100006,0.01991219457994564
100088,-0.2650047906987999
100113,1.2714138133952768
100278,0.05143420926047615
100282,0.006250134203138358
100345,-0.044376683097539726
100388,0.12347706522754875
100449,-0.09638677396161721
100456,-0.0033098497529093773
100473,-0.03992654182608002
100498,-0.12124801639566407
100628,-0.17163775106465357
100770,0.5489319926669854
100833,0.1945085041618273
100847,-0.026669805942702407
100849,-0.06492771544715448
101694,0.017209805051811244
101700,-0.10080053224932262
102244,-0.06927917323949362
106060,0.1232772427865455
106070,-0.05293933785715821
227958,0.13021026020494575
100018,0.1831864498644986
100137,-0.13974989870287058
100327,-0.10238009361911804
100341,-0.15223111111111115
100392,0.048378069626850095
100412,-0.08477752103836833
100413,0.14631190985594056
100443,0.0
100446,-0.03523820693944657
100494,-0.0242707229652942
100501,0.6018121238054485
100507,0.1280515808491418
100510,0.8407986575717149
100639,0.47097018970189686
100664,-0.26593226732267333
100760,-0.1345238536369428
100761,0.05212717418083268
100808,0.1373219614460296
101692,-0.16721101781509629
106064,-0.22019976952848708
106075,0.06383317210387296
233253,0.009177855207123442
100050,-0.08638504702694094
100092,-0.08476437475803333
100349,-0.094477935525624
100377,-0.04104435785186267
100440,0.13782159349593492
100448,-0.14987969943335805
100506,0.08035937790721182
100748,0.04049953501640269
100766,-0.11065808753602058
100829,-0.016763319416978062
100846,-0.11268459453825314
106058,0.26427848238482377
106068,0.01068991095625238
100100,0.01652658162788523
100101,0.00012099743075344449
100105,-0.05897682539682547
100115,0.0041131853241608285
100423,-0.027482964208952465
100442,-0.08568755472170109
100459,0.07581787062952583
101696,-0.16471294921644875
106079,0.10292080334179132
229648,0.06991108325101936
232211,0.04279086744849736
232212,0.04279086744849736
100039,-0.04768510168933471
100044,-0.02367719241192423
100042,0.06856279354924688
100197,0.030651859664542536
100046,0.0
100150,0.1340573888615233
100151,1.1190228207510646
100191,-0.028128761642868594
100207,0.11466978579546161
100238,-0.0900911336724205
100259,-0.07468564614789008
101788,-0.1601219473480449
101789,0.0
100155,-0.03508118642874736
100169,0.11281086174307131
100192,0.11808980690628645
100241,0.1424484514130856
100258,-0.07562987296337853
100270,-0.1314341998202065
100200,-0.16610203639179255
101786,-0.14522166602142217
100156,0.004860153144606638
100157,0.15770946871556624
100183,-0.03622986247874904
100205,0.03950299797351364
100208,0.012478177022841597
100167,0.0
100185,0.0
100406,0.024708192551968655
101903,-0.10052963181423225
101961,0.0008617213136696833
101987,0.032076218518362065
102087,0.4984929944010158
102105,0.0
102135,0.3085804872968567
102149,0.0453601055903009
102165,-0.08871506660933781
102169,-0.032141590641359685
102188,-0.02791987990172229
102195,0.03730622207503809
102208,-0.03010468762584073
102273,0.0226834044286246
102286,0.004482320216764202
102307,-0.05182023172293182
102313,-0.06511633898669922
102329,-0.02768795226546983
102334,0.0033300832633730293
102350,-0.0359437505697644
102374,-0.021325759526070853
102381,0.001781051728512284
102382,-0.013310255822941541
102404,0.1425127341133362
102405,-0.0024913625751429302
102424,-0.10672355626344021
102433,-0.0027359902293077054
102458,0.031543716459445315
102460,0.28600308847498734
102461,-0.19310389361340868
102462,0.03833123902833979
102500,0.05081835214298702
102511,-0.008980504319775484
102523,-0.09222078127245925
102546,0.032485570247030804
102548,0.0018600660843314243
102600,-0.053166570674378466
102603,0.03982713980439312
102633,0.2504371105361003
102636,0.09394186515356961
102669,0.04055664634198419
102688,0.12656006078668502
102711,-0.03508528185118709
102731,0.5974672523747494
105799,0.04907724956049053
105808,-0.06284023824438745
105822,-0.04375464422393116
105831,-0.029302164299362277
105834,0.10636276064696515
105836,-0.021276330827762258
105855,-0.023172818808016915
105870,0.6300838933151099
230414,-0.3294768311149316
101909,-0.06636581930608032
101989,0.13549846283332112
102038,0.21093173754083816
102136,0.8373580017254908
102143,0.06835421474150982
102152,0.20482585931658825
102166,0.003911967482017609
102184,0.0450660314830158
102194,0.033651734184032556
102258,-0.09565481610555071
102308,-0.04823267726877767
102321,-0.03412596995170458
102365,-0.15530263170458575
